number,objective_value,datetime_start,datetime_complete,duration,params_d,params_p,params_q,user_attrs_mape,user_attrs_rmse,user_attrs_stability_penalty,user_attrs_valid_model,state,category,model_family
16,76.95674845438315,2026-06-13 01:37:41.211902,2026-06-13 01:37:41.581381,0 days 00:00:00.369479,0,1,2,11.42077847727794,71.51338143138028,78.87327206811877,True,COMPLETE,cama_mesa_banho,arima
18,76.95674845438315,2026-06-13 01:37:41.901934,2026-06-13 01:37:42.279574,0 days 00:00:00.377640,0,1,2,11.42077847727794,71.51338143138028,78.87327206811877,True,COMPLETE,cama_mesa_banho,arima
39,127.70664206247108,2026-06-13 01:37:47.787101,2026-06-13 01:37:48.010480,0 days 00:00:00.223379,0,0,2,19.91433946359855,138.48850239527442,44.23433965296319,True,COMPLETE,cama_mesa_banho,arima
3,129.52147060380872,2026-06-13 01:37:38.701010,2026-06-13 01:37:39.069802,0 days 00:00:00.368792,0,2,2,18.18338928905132,191.1919255520789,162.91604965652076,True,COMPLETE,cama_mesa_banho,arima
27,129.52147060380872,2026-06-13 01:37:44.212916,2026-06-13 01:37:44.569817,0 days 00:00:00.356901,0,2,2,18.18338928905132,191.1919255520789,162.91604965652076,True,COMPLETE,cama_mesa_banho,arima
4,130.0912755851661,2026-06-13 01:37:39.069832,2026-06-13 01:37:39.281784,0 days 00:00:00.211952,0,2,0,19.437908503072094,174.10113927219348,146.75487633504395,True,COMPLETE,cama_mesa_banho,arima
19,130.0912755851661,2026-06-13 01:37:42.279602,2026-06-13 01:37:42.468675,0 days 00:00:00.189073,0,2,0,19.437908503072094,174.10113927219348,146.75487633504395,True,COMPLETE,cama_mesa_banho,arima
7,165.51376066999953,2026-06-13 01:37:39.697351,2026-06-13 01:37:39.842361,0 days 00:00:00.145010,0,0,1,26.514870871297802,164.85938802875617,43.461972554456345,True,COMPLETE,cama_mesa_banho,arima
5,165.51376066999953,2026-06-13 01:37:39.281818,2026-06-13 01:37:39.435141,0 days 00:00:00.153323,0,0,1,26.514870871297802,164.85938802875617,43.461972554456345,True,COMPLETE,cama_mesa_banho,arima
17,173.9929813230854,2026-06-13 01:37:41.581410,2026-06-13 01:37:41.901893,0 days 00:00:00.320483,0,2,1,25.669132817781133,214.8815853805496,194.21996261031234,True,COMPLETE,cama_mesa_banho,arima
37,173.9929813230854,2026-06-13 01:37:47.093513,2026-06-13 01:37:47.419202,0 days 00:00:00.325689,0,2,1,25.669132817781133,214.8815853805496,194.21996261031234,True,COMPLETE,cama_mesa_banho,arima
10,183.34590709887172,2026-06-13 01:37:39.877679,2026-06-13 01:37:40.175317,0 days 00:00:00.297638,1,2,2,27.24006950890656,216.46658661130502,193.5973932550919,True,COMPLETE,cama_mesa_banho,arima
26,220.95907654142616,2026-06-13 01:37:44.140124,2026-06-13 01:37:44.212887,0 days 00:00:00.072763,0,0,0,35.87414499979909,220.26827175921468,21.78644201638177,True,COMPLETE,cama_mesa_banho,arima
36,220.95907654142616,2026-06-13 01:37:46.986836,2026-06-13 01:37:47.093475,0 days 00:00:00.106639,0,0,0,35.87414499979909,220.26827175921468,21.78644201638177,True,COMPLETE,cama_mesa_banho,arima
39,97.60917891391549,2026-06-13 01:37:52.771791,2026-06-13 01:37:52.901945,0 days 00:00:00.130154,1,0,2,18.59709450378679,97.49466753265371,53.84324724547832,True,COMPLETE,esporte_lazer,arima
37,97.60917891391549,2026-06-13 01:37:52.381147,2026-06-13 01:37:52.528103,0 days 00:00:00.146956,1,0,2,18.59709450378679,97.49466753265371,53.84324724547832,True,COMPLETE,esporte_lazer,arima
22,103.0115701402536,2026-06-13 01:37:51.882444,2026-06-13 01:37:51.906774,0 days 00:00:00.024330,1,0,0,19.14860085927574,98.8766908831399,76.11570140253586,True,COMPLETE,esporte_lazer,arima
23,103.0115701402536,2026-06-13 01:37:51.906805,2026-06-13 01:37:51.933301,0 days 00:00:00.026496,1,0,0,19.14860085927574,98.8766908831399,76.11570140253586,True,COMPLETE,esporte_lazer,arima
