dataset,model_family,model,category,mae,rmse,mape,objective_value,stability_penalty
validation,arima,"ARIMA(1, 0, 1)",cama_mesa_banho,25.138940573968444,28.985436626591092,4.082571252522384,27.210143012725094,20.712024387566515
validation,arima,"ARIMA(1, 0, 1)",cama_mesa_banho,25.138940573968444,28.985436626591092,4.082571252522384,27.210143012725094,20.712024387566515
validation,arima,"ARIMA(1, 0, 1)",cama_mesa_banho,25.138940573968444,28.985436626591092,4.082571252522384,27.210143012725094,20.712024387566515
validation,arima,"ARIMA(1, 0, 1)",cama_mesa_banho,25.138940573968444,28.985436626591092,4.082571252522384,27.210143012725094,20.712024387566515
validation,arima,"ARIMA(1, 0, 1)",cama_mesa_banho,25.138940573968444,28.985436626591092,4.082571252522384,27.210143012725094,20.712024387566515
validation,arima,"ARIMA(1, 0, 1)",cama_mesa_banho,25.138940573968444,28.985436626591092,4.082571252522384,27.210143012725094,20.712024387566515
validation,arima,"ARIMA(1, 0, 1)",cama_mesa_banho,25.138940573968444,28.985436626591092,4.082571252522384,27.210143012725094,20.712024387566515
validation,arima,"ARIMA(1, 0, 1)",cama_mesa_banho,25.138940573968444,28.985436626591092,4.082571252522384,27.210143012725094,20.712024387566515
validation,arima,"ARIMA(1, 0, 1)",cama_mesa_banho,25.138940573968444,28.985436626591092,4.082571252522384,27.210143012725094,20.712024387566515
validation,arima,"ARIMA(1, 0, 1)",cama_mesa_banho,25.138940573968444,28.985436626591092,4.082571252522384,27.210143012725094,20.712024387566515
validation,arima,"ARIMA(1, 0, 1)",cama_mesa_banho,25.138940573968444,28.985436626591092,4.082571252522384,27.210143012725094,20.712024387566515
validation,arima,"ARIMA(1, 0, 1)",cama_mesa_banho,25.138940573968444,28.985436626591092,4.082571252522384,27.210143012725094,20.712024387566515
validation,arima,"ARIMA(1, 0, 1)",cama_mesa_banho,25.138940573968444,28.985436626591092,4.082571252522384,27.210143012725094,20.712024387566515
validation,arima,"ARIMA(0, 1, 1)",cama_mesa_banho,36.31562177766252,44.64317406154922,5.849299598915496,38.9697224103206,26.541006326580813
validation,arima,"ARIMA(0, 1, 1)",cama_mesa_banho,36.31562177766252,44.64317406154922,5.849299598915496,38.9697224103206,26.541006326580813
validation,arima,"ARIMA(0, 1, 1)",cama_mesa_banho,36.31562177766252,44.64317406154922,5.849299598915496,38.9697224103206,26.541006326580813
validation,arima,"ARIMA(1, 1, 2)",cama_mesa_banho,50.64076687325794,53.30988201168515,8.388195759970984,53.28790172638825,26.471348531303114
validation,arima,"ARIMA(1, 1, 0)",cama_mesa_banho,59.217208506126624,71.93666155985454,9.666304287801696,64.03962821982655,48.22419713699926
validation,arima,"ARIMA(1, 1, 0)",cama_mesa_banho,59.217208506126624,71.93666155985454,9.666304287801696,64.03962821982655,48.22419713699926
validation,arima,"ARIMA(1, 0, 0)",cama_mesa_banho,64.89548149257752,78.92995028019439,10.64197752413519,69.94593556519851,50.50454072620991
validation,arima,"ARIMA(1, 0, 2)",cama_mesa_banho,69.06942124757127,71.51338143138028,11.42077847727794,76.95674845438315,78.87327206811877
validation,arima,"ARIMA(1, 0, 2)",cama_mesa_banho,69.06942124757127,71.51338143138028,11.42077847727794,76.95674845438315,78.87327206811877
validation,arima,"ARIMA(1, 0, 2)",cama_mesa_banho,69.06942124757127,71.51338143138028,11.42077847727794,76.95674845438315,78.87327206811877
validation,arima,"ARIMA(0, 0, 2)",cama_mesa_banho,123.28320809717475,138.48850239527442,19.91433946359855,127.70664206247108,44.23433965296319
validation,arima,"ARIMA(2, 0, 2)",cama_mesa_banho,113.22986563815664,191.1919255520789,18.18338928905132,129.52147060380872,162.91604965652076
validation,arima,"ARIMA(2, 0, 2)",cama_mesa_banho,113.22986563815664,191.1919255520789,18.18338928905132,129.52147060380872,162.91604965652076
validation,arima,"ARIMA(2, 0, 0)",cama_mesa_banho,115.4157879516617,174.10113927219348,19.437908503072094,130.0912755851661,146.75487633504395
validation,arima,"ARIMA(2, 0, 0)",cama_mesa_banho,115.4157879516617,174.10113927219348,19.437908503072094,130.0912755851661,146.75487633504395
validation,arima,"ARIMA(0, 0, 1)",cama_mesa_banho,161.16756341455388,164.85938802875617,26.514870871297802,165.51376066999953,43.461972554456345
validation,arima,"ARIMA(0, 0, 1)",cama_mesa_banho,161.16756341455388,164.85938802875617,26.514870871297802,165.51376066999953,43.461972554456345
validation,arima,"ARIMA(2, 0, 1)",cama_mesa_banho,154.57098506205415,214.8815853805496,25.669132817781133,173.9929813230854,194.21996261031234
validation,arima,"ARIMA(2, 0, 1)",cama_mesa_banho,154.57098506205415,214.8815853805496,25.669132817781133,173.9929813230854,194.21996261031234
validation,arima,"ARIMA(2, 1, 2)",cama_mesa_banho,163.98616777336252,216.46658661130502,27.24006950890656,183.34590709887172,193.5973932550919
validation,arima,"ARIMA(0, 0, 0)",cama_mesa_banho,218.78043233978798,220.26827175921468,35.87414499979909,220.95907654142616,21.78644201638177
validation,arima,"ARIMA(0, 0, 0)",cama_mesa_banho,218.78043233978798,220.26827175921468,35.87414499979909,220.95907654142616,21.78644201638177
validation,arima,"ARIMA(0, 1, 2)",esporte_lazer,92.22485418936765,97.49466753265371,18.59709450378679,97.60917891391549,53.84324724547832
validation,arima,"ARIMA(0, 1, 2)",esporte_lazer,92.22485418936765,97.49466753265371,18.59709450378679,97.60917891391549,53.84324724547832
validation,arima,"ARIMA(0, 1, 0)",esporte_lazer,95.4,98.8766908831399,19.14860085927574,103.0115701402536,76.11570140253586
validation,arima,"ARIMA(0, 1, 0)",esporte_lazer,95.4,98.8766908831399,19.14860085927574,103.0115701402536,76.11570140253586
validation,arima,"ARIMA(0, 1, 0)",esporte_lazer,95.4,98.8766908831399,19.14860085927574,103.0115701402536,76.11570140253586
validation,arima,"ARIMA(0, 1, 0)",esporte_lazer,95.4,98.8766908831399,19.14860085927574,103.0115701402536,76.11570140253586
validation,arima,"ARIMA(0, 1, 0)",esporte_lazer,95.4,98.8766908831399,19.14860085927574,103.0115701402536,76.11570140253586
validation,arima,"ARIMA(0, 1, 0)",esporte_lazer,95.4,98.8766908831399,19.14860085927574,103.0115701402536,76.11570140253586
validation,arima,"ARIMA(0, 1, 0)",esporte_lazer,95.4,98.8766908831399,19.14860085927574,103.0115701402536,76.11570140253586
validation,arima,"ARIMA(0, 1, 0)",esporte_lazer,95.4,98.8766908831399,19.14860085927574,103.0115701402536,76.11570140253586
validation,arima,"ARIMA(0, 1, 0)",esporte_lazer,95.4,98.8766908831399,19.14860085927574,103.0115701402536,76.11570140253586
validation,arima,"ARIMA(0, 1, 0)",esporte_lazer,95.4,98.8766908831399,19.14860085927574,103.0115701402536,76.11570140253586
validation,arima,"ARIMA(0, 1, 0)",esporte_lazer,95.4,98.8766908831399,19.14860085927574,103.0115701402536,76.11570140253586
validation,arima,"ARIMA(0, 1, 0)",esporte_lazer,95.4,98.8766908831399,19.14860085927574,103.0115701402536,76.11570140253586
